Modelo,Onde funciona,Voltagem de saída,Amperagem de saída (A),Estoque
TPC-LA52,Notebooks Compaq e HP,19.5,7.69,#REF!
N18152,Notebooks Compaq e HP,18.5,3.5,#REF!
N17908,Notebooks Compaq e HP,19.5,3.33,#REF!
DA-90F19,"NAS: D-LINK 340L, D-LINK 3401, PR-4100,",19,4.74,#REF!
DSA-36W-12 1 36,Monitor LG,12,3,#REF!
GP-F120-100,Barril de 2.5mm,12,1,#REF!
PA-1650-02HN,Notebooks Compaq e HP,19.5,3.33,#REF!
WLX100GY-12V-3A,Barril de 2.5mm,12,3,#REF!
ADS-24S-12 1224GPBR,Monitor LG,12,2,#REF!
N20789,Notebooks Compaq e HP,19,4.74,#REF!
1AA-050-0200-A,,5,2,#REF!
WA-36A12,,12,3,#REF!
ADB810F10,,12,1,#REF!
AD-3014N,Notebooks Samsung,14,2.14,#REF!
LE-2561,,3/4.5/6/7.5/9/12,3,#REF!
ADP-65JH CB,Barril de 2.5mm,19,3.42,#REF!
FE 12 01A,,12,1,#REF!
NBS30E120250HB,,12,2.5,#REF!
VGP-AC10V5,,10.5,2.9,#REF!
SYS1428-2412-W2B,,12,2,#REF!
BA018-050250AXE,,5,2.5,#REF!
