ENTRADA,PATRIMÔNIO,STATUS,SERIAL,CATEGORIA,FABRICANTE,MODELO,LOCAL,SAÍDA,OBSERVAÇÃO
,0,À testar,,Processador,Intel,E2630L,Escritório,,
,0,À testar,,Processador,Intel,E2670,Escritório,,
,1,À testar,J9X8LTJL,HD,Hitachi,HUS156060VLS600,,,
,2,À testar,GZ4MC72,Servidor,Dell,Inspiron 15,Pedro,,
,2,À testar,J9X6SUPL,HD,Hitachi,HUS156060VLS600,,,
,3,À testar,Rack,Servidor,Chenbro,Chenbro xyz,Escritório,,
,3,À testar,J9X83WPL,HD,Hitachi,HUS156060VLS600,,,
,4,À testar,J9X8227L,HD,Hitachi,HUS156060VLS600,Estoque,,
,5,Desconhecido,,,,,,,
,6,À testar,W4J0VKE5,HD,Seagate,ST5000DM000,Escritório,,
,7,Desconhecido,,,,,,,
,8,À testar,W4J0VV0T,HD,Seagate,ST5000DM000,Estoque,,
,9,Desconhecido,,,,,,,
,10,À testar,,Pen Drive,Multilaser,PD588,Escritório,,
,11,À testar,,Pen Drive,Multilaser,PD588,Escritório,,
,12,À testar,,Pen Drive,Multilaser,PD588,Escritório,,
,13,À testar,,Pen Drive,Multilaser,PD588,Escritório,,
,14,À testar,,Pen Drive,Multilaser,PD588,Escritório,,
,15,À testar,,Pen Drive,Multilaser,PD588,Escritório,,
,16,À testar,,Pen Drive,Multilaser,PD588,Escritório,,
,17,À testar,1315037502D6,HD,Micron,P300 2.5,Escritório,,
,18,À testar,Z1X19KVQ,HD,Dell,ST2000NM0023,Escritório,,
,19,À testar,Z3L5KACVFK5,HD,Dell,MG03ACA100,Estoque,,
,20,À testar,Z3L3KAVYFVK5,HD,Dell,MG03ACA100,Estoque,,
,21,À testar,9WK4VDQ8,HD,Dell,ST31000524NS,Escritório,,
,22,À testar,Z1N4GERT,HD,Dell,ST1000NM0011,Escritório,,
,23,À testar,W1H07ZGK,HD,Seagate,ST2000VM003,Escritório,,
,24,À testar,W1H170Q2,HD,Seagate,ST2000VM003,Escritório,,
,25,À testar,Z1P56NGF,HD,Seagate,ST2000NM0011,Concert,,
,26,À testar,W2F0TAEV,HD,Seagate,ST2000DM001,Estoque,,
,27,À testar,MS280U5K,HD,Hitachi,HDE721010SLA330,Escritório,,
,28,À testar,GTE000PAKART9E,HD,Hitachi,HUA721010KLA330,Escritório,,
,29,À testar,105SPGS4K079,,LG,Flatron W1943C,OFC da Roupa,,
,30,À testar,105SPBF3E261,,LG,Flatron W1943C,Escritório,,
,31,À testar,19L26GT21042863,Monitor,Tronos,19TRS-XIE-V,Escritório,,Tela borrada
,32,À testar,,Adaptador AC,Samsung,,OFC da Roupa,,
,33,À testar,AA17069TJXCCA,Adaptador AC,Samsung,,Escritório,,
,34,À testar,208SPZK04901,Monitor,LG,Flatron W1946P,OFC da Roupa,,
,35,À testar,V366298 2580-AF1,Monitor,Lenovo,LS1922wA,OFC da Roupa,,
,36,À testar,,Desktop,Dell,Optiplex 380,OFC da Roupa,,
,37,À testar,,Desktop,Dell,Optiplex 380,Escritório - Concert,,
,38,À testar,,Monitor,,,OFC da Roupa,,
,39,À testar,,Monitor,Positivo,,OFC da Roupa,,
,40,À testar,,Desktop,Sim+,L3430,OFC da Roupa,,
,41,À testar,41445XA001078,TV,AOC,LE24D1440/20,OFC da Roupa,,
,42,À testar,,Desktop,Sim+,,OFC da Roupa,,
,43,À testar,10906549,Monitor,Positivo,W1946PW,OFC da Roupa,,
,44,À testar,,Desktop,HP,Compaq,OFC da Roupa,,
,45,À testar,X5EV174646,Impressora,Epson,L3150,Escritório,,
,46,À testar,CN-0R097K-74443-8AH-A915,Monitor,Dell,,Escritório,,
,47,À testar,BR-06K5NC-TVB00-6CC-306T-A00,Monitor,Dell,P2217Hc,Escritório,,
,48,À testar,BR-0KW557-70713-7CE-2K1A,Monitor,Dell,1908FP,Escritório,,
,49,À testar,,Servidor,,,Escritório,,
,50,À testar,,Servidor,,,Escritório,,
,51,À testar,,Monitor,STI,MLE 1950W,Escritório,,
,52,À testar,805SPDTM2922,Monitor,LG,Flatron L1953H-SF,Escritório,,
,53,À testar,,Desktop,,,Escritório,,
,54,À testar,,Suporte Monitor,Dell,,Escritório,,
,55,À testar,,Suporte Monitor,Dell,,Escritório,,
,56,À testar,,Memória,Dell,,Estoque,,
,57,À testar,,Suporte Monitor,Dell,,Escritório,,
,58,À testar,,Suporte Monitor,Dell,,Escritório,,
,59,À testar,,Suporte Monitor,Dell,,Escritório,,
,60,À testar,,Suporte Monitor,Dell,,Escritório,,
,61,À testar,,Suporte Monitor,LG,,Escritório,,
,62,À testar,,Desktop,Dell,Optiplex 390,Escritório,,
,63,À testar,J3VF6X2579L,Projetor,Epson,EMP-S4,Escritório,,
,64,À testar,,Suporte Monitor,Dell,,Escritório,,
,65,À testar,,Suporte Monitor,Dell,,Escritório,,
,66,À testar,,Suporte Monitor,Dell,,Escritório,,
,67,À testar,CN-077FRW-70821-3CJ-0060-A03,Servidor,Dell,PowerEdge R210 II,Escritório,,
,68,À testar,,,,,,,
,69,À testar,8HW6GG1,Servidor,Dell,PowerEdge 1950,Estoque,,
,70,À testar,C82500B43M40251,Servidor,IBM,xSeries 336,Estoque,,
,71,À testar,,Servidor,,,Escritório,,
,72,À testar,FTX15318255,Roteador,Cisco,1905,Escritório,,
,73,À testar,7RD2510018,Storage NAS,Iomega,NAS IX4-200D,Estoque,,
,74,À testar,F12731131002033,Adaptador AC,Hipro,HP-A0904A3,Escritório,,
,75,À testar,,Switch,Intelbras,SF 2842 MR,Escritório,,
,76,À testar,3CR17661-91,Switch,3Com,4200G 24-port,Escritório,,
,77,À testar,3.20211E+11,GPU,Nvidia,FX3800,Escritório,,
,78,À testar,WMAYP2620730,HD,Dell,WD5003ABYX-18WERA0,,,
,79,À testar,SBR2011043002215,Memória,Smart,M393B1K70CHD-CH9,Concert,,
,80,À testar,HMT31GR7BFR4C-H9 D7 AB 1101,Memória,Hynix,HMT31GR7BFR4C-H9,Estoque,,
,81,À testar,HMT31GR7CFR4A-PB T8 AF 1327,Memória,Hynix,HMT31GR7CFR4A-PB,Escritório,,
,82,À testar,HMT31GR7CFR4A-PB T8 AF 1327,Memória,Hynix,HMT31GR7CFR4A-PB,Escritório,,
,83,À testar,HMT31GR7CFR4A-PB T8 AF 1327,Memória,Hynix,HMT31GR7CFR4A-PB,Escritório,,
,84,À testar,HMT31GR7CFR4A-PB T8 AF 1327,Memória,Hynix,HMT31GR7CFR4A-PB,Escritório,,
29/12/2021,85,À testar,CN-09M1D2-71070-2A4-0009-A01,Servidor,Dell,PowerEdge T320,Estoque,,
29/12/2021,86,À testar,CN-03P0R3-13740-2AE-0060-A01,Placa Controladora,Dell,UCSA-801 - H310,Estoque,,
29/12/2021,87,À testar,,Desktop,Dell,Optiplex 990,Escritório,,
,88,À testar,G121005109099,Adaptador AC,Sunny,SYS1428-2412-W2B,Estoque,,
,89,À testar,,,,,,,
,90,À testar,,,,,,,
,91,À testar,,Memória,,,960,,
,92,À testar,,,,,,,
,93,À testar,,,,,,,
,94,À testar,,,,,,,
,95,À testar,,,,,,,
,96,À testar,,,,,,,
,97,À testar,,,,,,,
,98,À testar,,,,,,,
,99,À testar,,,,,,,
,100,À testar,,,,,,,
,101,À testar,PBH2YH1X,HD,Oracle,HUS724040ALS640,Escritório,,
,102,À testar,PBH3J16X,HD,Oracle,HUS724040ALS640,Escritório,,
,103,À testar,PAKRGGJX,HD,Oracle,HUS724040ALS640,Escritório,,
,104,À testar,PBH2XTYX,HD,Oracle,HUS724040ALS640,Escritório,,
,105,À testar,PBH6DW8X,HD,Oracle,HUS724040ALS640,Escritório,,
,106,À testar,PBH5Z1PX,HD,Oracle,HUS724040ALS640,Escritório,,
,107,À testar,PBH3VDGX,HD,Oracle,HUS724040ALS640,Escritório,,
,108,À testar,PBH3UH6X,HD,Oracle,HUS724040ALS640,Escritório,,
